# Укрупнение направлений академической музыки.
# Формат: как в таблице <TAB> направление после сведения
#
# Было 97 значений, из них 23 по одной записи, и в одном списке лежали
# эпохи, школы, техники, страны, инструменты и жизненные позиции. Владелец
# согласился на четыре имени — американский минимализм, новая сложность,
# новая искренность, авангард — и просил остальное укрупнить.
#
# Замены идут цепочкой, круг в таблице останавливает сборку.

# --- американский минимализм: репетитивная техника это он и есть
репетитивная техника	американский минимализм
постминимализм	американский минимализм
тотализм	американский минимализм
органический минимализм	американский минимализм
нидерландский минимализм	американский минимализм
экспериментальный минимализм	американский минимализм
микротональный постминимализм	американский минимализм
новая консонантная музыка	американский минимализм

# --- новая искренность: Сильвестров и Пелецис в одном месте, а не в
# «метамузыке», придуманной ради одного автора
новая простота	новая искренность
метамузыка	новая искренность

# --- сакральный минимализм рядом, но это другое: Пярт и Тавенер
# --- авангард: всё, что разбирает звук на части
советский авангард	авангард
французский авангард	авангард
русский авангард	авангард
японский авангард	авангард
армянский авангард	авангард
сакральный авангард	авангард
послевоенный авангард	авангард
алеаторика	авангард
стохастическая музыка	авангард
сонористика	авангард
инструментальный театр	авангард
организованный звук	авангард
расширенные техники	авангард
микротональность	авангард
экспериментальная музыка	авангард
американский экспериментализм	авангард
нью-йоркская школа	авангард
микрополифония	авангард
конструктивизм	авангард
механическая музыка	авангард
неопримитивизм	авангард

# --- новая сложность: сериализм во всех видах
интегральный сериализм	новая сложность
постсериализм	новая сложность
сериализм и электронная музыка	новая сложность
спектрализм	новая сложность

# --- нововенская школа: атональность до сериализма
додекафония	нововенская школа
свободная атональность	нововенская школа

# --- неоклассицизм и неоромантизм
чешский неоклассицизм	неоклассицизм
этно-неоклассика	неоклассицизм
американский неоромантизм	неоромантизм
неоромантический кроссовер	неоромантизм
неоимпрессионизм	импрессионизм в музыке

# --- национальные школы: страна — не направление, но вместе они об одном
латиноамериканский национализм	национальные школы
испанский национализм	национальные школы
американский национализм	национальные школы
афроамериканский национализм	национальные школы
венгерская школа	национальные школы
китайская национальная школа	национальные школы
татарская национальная школа	национальные школы
грузинская школа	национальные школы
польская школа	национальные школы
сербская новая музыка	национальные школы
армянская новая музыка	национальные школы
канадская новая музыка	национальные школы
японская новая музыка	национальные школы
американская новая музыка	национальные школы
фольклоризм	национальные школы
неофольклоризм	национальные школы
африканский пианизм	национальные школы
интеркультурная музыка	национальные школы
французская школа	национальные школы
скандинавский модернизм	модернизм
английский модернизм	модернизм
американский модернизм	модернизм
японский модернизм	модернизм
польский модернизм	модернизм
советская школа	модернизм
новая музыка	модернизм

# --- переложения: не школа, а способ обращения с чужой музыкой
эстрадные транскрипции	переложения
поп-рок-транскрипции	переложения
виртуозные транскрипции	переложения
средневековые обработки	переложения
трансцендентальный пианизм	переложения
гитарный кроссовер	переложения

# --- то, что направлением не было никогда: инструмент, состав, способ
# бытования. Всё это теперь спрашивается отдельно — «чем играется» и
# «как звучит», — а здесь остаётся честное «школы нет, есть эпоха».
органная музыка	только эпоха
французская органная школа	только эпоха
нидерландская органная школа	только эпоха
духовная музыка	только эпоха
киномузыка	только эпоха
концертная музыка	только эпоха
музыка для ударных	только эпоха
педагогический репертуар	только эпоха
академическая музыка	только эпоха
эмбиент	только эпоха
Электроника	только эпоха
Эмбиент и даунтемпо	только эпоха
Мировая музыка	только эпоха
