# Настроение вручную. Правится здесь; всё остальное — умолчания.
#
#   ЭНЕРГИЯ  1 замерло · 2 дышит · 3 идёт · 4 гонит · 5 рвёт
#   СВЕТ     1 мрак · 2 тень · 3 ровно · 4 тепло · 5 свет
#
# Формат:  ключ <TAB> энергия <TAB> свет <TAB> (что угодно, не читается)
# Ключ:    имя автора как в каталоге
#          «альбом:<название>» — весь альбом или произведение
#          «id:<номер трека>»  — одна запись
#
# Порядок старшинства: id сильнее всего; дальше то, что прочитано из
# названия (у академической музыки лад и темповая ремарка); дальше автор
# и альбом; в самом низу умолчание по субжанру из moods.tsv.
# Поэтому «Шопен — тень» покрасит только те пьесы, у которых лад в
# заголовке не назван, а Ноктюрн в D Major светлым и останется.
#
# Ноль означает «не трогать»: строка «Metallica <TAB> 5 <TAB> 0» задаёт
# только энергию, свет остаётся прежним.
#
# Ниже проставлено то, что сейчас считается автоматически, — чтобы менять
# цифры, а не набирать имена. Крайние деления (1 и 5) автоматика почти не
# ставит: до них дотягивается только рука.

# ============================================= повседневная, от 6 записей

The Beatles	3	3	# 43 · Британский рок · сейчас идёт / ровно
The Strokes	4	2	# 35 · Альтернативный рок · сейчас гонит / тень
Skillet	4	3	# 33 · Хард-рок · сейчас гонит / ровно
Led Zeppelin	4	3	# 32 · Хард-рок · сейчас гонит / ровно
The Rolling Stones	4	3	# 30 · Классический рок · сейчас гонит / ровно
Дайте танк (!)	3	3	# 28 · Инди-рок · сейчас идёт / ровно
Radiohead	4	2	# 24 · Альтернативный рок · сейчас гонит / тень
Arctic Monkeys	4	2	# 19 · Альтернативный рок · сейчас гонит / тень
Depeche Mode	4	4	# 15 · Синти-поп · сейчас гонит / тепло
B.B. King	3	2	# 14 · Блюз-рок · сейчас идёт / тень
Balthazar	4	2	# 14 · Альтернативный рок · сейчас гонит / тень
Elvis Presley	5	5	# 11 · Рок-н-ролл · сейчас рвёт / свет
Hurts	4	4	# 11 · Синти-поп · сейчас гонит / тепло
Michael Jackson	3	4	# 11 · Современный поп · сейчас идёт / тепло
twenty one pilots	4	2	# 11 · Альтернативный рок · сейчас гонит / тень
Arcade Fire	4	2	# 9 · Альтернативный рок · сейчас гонит / тень
Cage the Elephant	4	2	# 9 · Альтернативный рок · сейчас гонит / тень
Jonny Greenwood	2	3	# 9 · Саундтрек · сейчас дышит / ровно
Leningrad	4	3	# 9 · Современный рок · сейчас гонит / ровно
Michael Kiwanuka	3	4	# 9 · Соул · сейчас идёт / тепло
Pink Floyd	3	3	# 9 · Прогрессивный рок · сейчас идёт / ровно
Zemfira	4	3	# 9 · Современный рок · сейчас гонит / ровно
нееет, ты что	4	5	# 8 · Фанк · сейчас гонит / свет
Muse	4	2	# 8 · Альтернативный рок · сейчас гонит / тень
Panic! At the Disco	4	2	# 8 · Альтернативный рок · сейчас гонит / тень
System Of A Down	4	3	# 8 · Хард-рок · сейчас гонит / ровно
Tame Impala	3	3	# 8 · Психоделический рок · сейчас идёт / ровно
The Doors	3	3	# 8 · Психоделический рок · сейчас идёт / ровно
Two Door Cinema Club	4	2	# 8 · Альтернативный рок · сейчас гонит / тень
Bob James	3	4	# 7 · Джаз-фьюжн · сейчас идёт / тепло
Brad Mehldau	2	3	# 7 · Современный джаз · сейчас дышит / ровно
Chet Baker	2	3	# 7 · Кул-джаз · сейчас дышит / ровно
Eric Clapton	3	2	# 7 · Блюз-рок · сейчас идёт / тень
Fleetwood Mac	4	3	# 7 · Классический рок · сейчас гонит / ровно
Franz Ferdinand	3	3	# 7 · Инди-рок · сейчас идёт / ровно
Moby	5	3	# 7 · Танцевальная электроника · сейчас рвёт / ровно
Paul McCartney	3	3	# 7 · Британский рок · сейчас идёт / ровно
Queen	4	3	# 7 · Классический рок · сейчас гонит / ровно
Tigran Hamasyan	2	3	# 7 · Современный джаз · сейчас дышит / ровно
General Elektriks	4	2	# 6 · Альтернативный рок · сейчас гонит / тень
Gorillaz	4	2	# 6 · Альтернативный рок · сейчас гонит / тень
Gradusy	3	4	# 6 · Современный поп · сейчас идёт / тепло
Imagine Dragons	4	2	# 6 · Альтернативный рок · сейчас гонит / тень
Milky Chance	4	2	# 6 · Альтернативный рок · сейчас гонит / тень
Quincy Jones	3	4	# 6 · Джаз-фьюжн · сейчас идёт / тепло
The Hatters	3	3	# 6 · Фолк-рок · сейчас идёт / ровно
The Orb	3	3	# 6 · Электроника · сейчас идёт / ровно
Valentin Strykalo	4	2	# 6 · Альтернативный рок · сейчас гонит / тень

# ====== академическая: композиторы, у которых в названиях нет ни лада,
# ====== ни темповой ремарки, — там автоматике опереться не на что

Филип Гласс (1937–н.в.)	2	3	# 43 без сигнала · Минимализм · сейчас дышит / ровно
Сергей Рахманинов (1873–1943)	3	2	# 34 без сигнала · Поздний романтизм · сейчас идёт / тень
Роберт Шуман (1810–1856)	3	2	# 28 без сигнала · Романтизм · сейчас идёт / тень
Иоганн Себастьян Бах (1685–1750)	3	3	# 27 без сигнала · Барокко · сейчас идёт / ровно
Клод Дебюсси (1862–1918)	2	3	# 27 без сигнала · Импрессионизм · сейчас дышит / ровно
Сергей Прокофьев (1891–1953)	3	2	# 25 без сигнала · Модернизм · сейчас идёт / тень
Пётр Ильич Чайковский (1840–1893)	3	2	# 25 без сигнала · Романтизм · сейчас идёт / тень
Игорь Стравинский (1882–1971)	3	2	# 24 без сигнала · Модернизм · сейчас идёт / тень
Морис Равель (1875–1937)	2	3	# 21 без сигнала · Импрессионизм · сейчас дышит / ровно
Леонид Десятников (1955–н.в.)	2	3	# 19 без сигнала · Современная академическая музыка · сейчас дышит / ровно
Франц Шуберт (1797–1828)	3	2	# 19 без сигнала · Романтизм · сейчас идёт / тень
Ференц Лист (1811–1886)	3	2	# 16 без сигнала · Романтизм · сейчас идёт / тень
Вольфганг Амадей Моцарт (1756–1791)	3	4	# 16 без сигнала · Классицизм · сейчас идёт / тепло
Фридерик Шопен (1810–1849)	3	2	# 15 без сигнала · Романтизм · сейчас идёт / тень
Джон Адамс (1947–н.в.)	2	3	# 13 без сигнала · Минимализм · сейчас дышит / ровно
Камиль Сен-Санс (1835–1921)	3	2	# 13 без сигнала · Романтизм · сейчас идёт / тень
Альфред Шнитке (1934–1998)	2	3	# 11 без сигнала · Современная академическая музыка · сейчас дышит / ровно
Эрик Сати (1866–1925)	2	3	# 11 без сигнала · Импрессионизм · сейчас дышит / ровно
Арво Пярт (1935–н.в.)	2	3	# 11 без сигнала · Минимализм · сейчас дышит / ровно
Астор Пьяццолла (1921–1992)	4	2	# 11 без сигнала · Танго-нуэво · сейчас гонит / тень
Модест Мусоргский (1839–1881)	3	2	# 11 без сигнала · Романтизм · сейчас идёт / тень
Терри Райли (1935–н.в.)	2	3	# 10 без сигнала · Минимализм · сейчас дышит / ровно
Франсис Пуленк (1899–1963)	3	2	# 10 без сигнала · Модернизм · сейчас идёт / тень
Рюити Сакамото (1952–2023)	2	4	# 10 без сигнала · Классический кроссовер · сейчас дышит / тепло
Павел Карманов (1970–2024)	2	3	# 9 без сигнала · Современная академическая музыка · сейчас дышит / ровно
Брайс Десснер (1976–н.в.)	2	3	# 9 без сигнала · Современная академическая музыка · сейчас дышит / ровно
Эдвард Григ (1843–1907)	3	2	# 9 без сигнала · Романтизм · сейчас идёт / тень
Жорж Бизе (1838–1875)	3	2	# 9 без сигнала · Романтизм · сейчас идёт / тень
Франсуа Куперен (1668–1733)	3	3	# 8 без сигнала · Барокко · сейчас идёт / ровно
Ней Розауро (1952–н.в.)	2	3	# 8 без сигнала · Современная академическая музыка · сейчас дышит / ровно

# ================================================ примеры точечных правок
# альбом:Kind of Blue	2	3
# id:1560901398	4	5

