# Настроение по умолчанию: чем считать запись, пока про неё не сказано иного.
#
# Две шкалы, по пять делений. Одна отвечает на вопрос «сколько в ней
# движения», вторая — «какой у неё цвет». Двух чисел хватает, чтобы место
# записи в поле было однозначным, а разметка не превращалась в работу:
# на запись — два быстрых решения, а не выбор из списка настроений.
#
#   ЭНЕРГИЯ   1 замерло · 2 дышит · 3 идёт · 4 гонит · 5 рвёт
#   СВЕТ      1 мрак · 2 тень · 3 ровно · 4 тепло · 5 свет
#
# Здесь стоят значения по субжанру и по эпохе — самый грубый слой. Точнее
# него говорит название (у академической музыки минор/мажор и темповая
# ремарка читаются прямо из заголовка), а точнее всего — mood.tsv, где
# правится вручную по автору, альбому или отдельной записи.
#
# Формат: ключ <TAB> энергия <TAB> свет

# ------------------------------------------------- субжанры повседневной
Альтернативный рок	4	2
Хард-рок	4	3
Современный поп	3	4
Британский рок	3	3
Поп-рок	4	4
Классический рок	4	3
Инди-рок	3	3
Саундтрек	2	3
Современный джаз	2	3
Хип-хоп	4	2
Свинг	3	4
Блюз-рок	3	2
Соул	3	4
Джаз-фьюжн	3	4
Современный рок	4	3
Прогрессивный рок	3	3
Традиционный блюз	2	2
Современный R&B	3	3
Инди-поп	3	4
Электроника	3	3
Синти-поп	4	4
Современная электроника	3	3
Психоделический рок	3	3
Современный хип-хоп	4	2
Рок-н-ролл	5	5
Танцевальная электроника	5	4
Авторская песня	2	2
Кул-джаз	2	3
Бибоп и хард-боп	4	3
Метал	5	1
Фанк	4	5
Панк	5	2
Модальный джаз и постбоп	3	2
Нью-вейв	4	3
Фолк	2	3
Эмбиент и даунтемпо	1	3
Босса-нова и латино-джаз	2	4
Гранж	4	1
Современный блюз	3	2
Фолк-рок	3	3
Классический поп	2	4
Джазовый кроссовер	3	4
Мировая музыка	3	4
Мюзикл	4	4
Пост-панк	3	1
Рождественская музыка	3	5
Диско	5	5
Поп 1980–1990-х	4	4
Кантри	3	3
Современный фолк	2	3
Рэгтайм и ранний джаз	4	5
Кантри-рок	3	3
Регги и ска	3	4
Нью-эйдж	1	4
Латино-поп	4	4
Ретро-поп / рок	3	4

# ----------------------------------------------------- эпохи и жанры
# Для академической музыки это только запасной слой: он работает там, где
# в названии нет ни лада, ни темповой ремарки (1032 записи из 2463).
Барокко	3	3
Классицизм	3	4
Классицизм → романтизм	3	3
Романтизм	3	2
Поздний романтизм	3	2
Импрессионизм	2	3
Модернизм	3	2
Авангард	3	1
Минимализм	2	3
Современная академическая музыка	2	3
Классический кроссовер	2	4
Ранняя музыка	2	3
Танго-нуэво	4	2
Джаз	3	4
Рок	4	3
Поп	3	4
Электронная музыка	3	3
Рэп / хип-хоп	4	2
R&B / соул / фанк	3	4
Блюз	3	2
Саундтреки / мюзиклы	3	4
Фолк / кантри	2	3
Инструментальная музыка	1	4
Мировая музыка	3	4
Жанр не определён	3	3
Академическая музыка вне разметки	3	3
