# Русские исполнители, записанные в выгрузке Apple латиницей.
# Кандидаты найдены по коду страны в ISRC (RU/UA) — их ровно 63.
# Обратная транслитерация ненадёжна, поэтому написание проставлено руками.
# Знак «=» во второй колонке значит «оставить латиницу»: так пишется само имя.
# Формат: латиница <TAB> русское написание <TAB> примечание
Anton Batagov	Антон Батагов
Dajte Tank (!)	Дайте танк (!)
Mikhail Pletnev	Михаил Плетнёв
Alexei Lubimov	Алексей Любимов
Nikolai Petrov	Николай Петров
Vladimir Ashkenazy	Владимир Ашкенази
Polina Osetinskaya	Полина Осетинская
Maria Grinberg	Мария Гринберг
Konstantin Volostnov	Константин Волостнов
Igor Yakovenko	Игорь Яковенко
Kino	Кино
Maria Yudina	Мария Юдина
Megapolis	Мегаполис
Alexei Goribol	Алексей Гориболь
Boris Berezovsky	Борис Березовский
Dmitry Masleev	Дмитрий Маслеев
Electroforez	Электрофорез
Mikhail Dubov	Михаил Дубов
Oxxxymiron	=	официальное написание латиницей
UGLI	=	официальное написание латиницей
Brazzaville	=	американская группа, релизы на российском лейбле
Leonid Desyatnikov	Леонид Десятников
Nazar Kozhukhar	Назар Кожухарь
Shortparis	=	официальное написание латиницей
Varvara Myagkova	Варвара Мягкова
Alexander Bakhchiev	Александр Бахчиев
Alexander Gauk	Александр Гаук
Alexander Trostiansky	Александр Тростянский
Alyans	Альянс
apillsinjuice	=	официальное написание латиницей
Eri Klas	Эри Клас	эстонский дирижёр
ICQ-Project	=	официальное написание латиницей
Ilya Papoyan	Илья Папоян
Intelligency	=	официальное написание латиницей
Irina Smorodinova	Ирина Смородинова
Ivanushki International	Иванушки International
Ksenia Bashmet	Ксения Башмет
Lubov Timofeeva	Любовь Тимофеева
Maria Nemtsova	Мария Немцова
Monetochka	Монеточка
Nastasia Khrushcheva	Настасья Хрущёва
Naum Shtarkman	Наум Штаркман
Oleg Yanchenko	Олег Янченко
Toxi$	=	официальное написание латиницей
Evgeny Svetlanov	Евгений Светланов
Tatiana Nikolayeva	Татьяна Николаева
Eduard Grach	Эдуард Грач
Grigory Kogan	Григорий Коган
Stanislav Malyshev	Станислав Малышев
Maxim Novikov	Максим Новиков
Vladislav Pesin	Владислав Песин
Elena Revich	Елена Ревич
Marina Katarzhnova	Марина Катаржнова
Olga Demina	Ольга Дёмина
Valentina Borisova	Валентина Борисова
Petr Ivshin	Пётр Ившин
Oleg Grymov	Олег Грымов
Ivan Norkin	Иван Норкин
Daria Tchaikovskaya	Дарья Чайковская
Rustam Komachkov	Рустам Комачков
Elmir Nizamov	Эльмир Низамов
Aarne	=	официальное написание латиницей
Big Baby Tape	=	официальное написание латиницей
